episode,episode_reward,episode_steps,episode_success,episode_delay,total_samples,epsilon,loss,timestamp
310,-35.703342567199144,72,1,340.33317434627133,13923,0.5376,0.291673,2026-04-02 14:18:00
311,-7.104447111175113,42,1,164.4765345183712,13990,0.5365,0.140651,2026-04-02 14:18:01
312,-56.31569889105904,87,1,427.24922658599473,14052,0.5355,0.023809,2026-04-02 14:18:01
313,-54.38302926851436,81,1,593.0959886835911,14114,0.5344,0.215596,2026-04-02 14:18:02
314,-15.373745185761152,35,1,244.6962205813485,14207,0.5333,0.073660,2026-04-02 14:18:03
315,-15.43289397913565,23,1,197.5927352998321,14241,0.5323,0.123777,2026-04-02 14:18:03
316,-215.38507630036793,200,0,1275.235965633751,14267,0.5312,0.077325,2026-04-02 14:18:03
317,-25.222612387251882,64,1,419.85260634965283,14323,0.5301,0.096874,2026-04-02 14:18:04
318,-27.620383475688573,52,1,302.4600256769073,14333,0.5291,0.164459,2026-04-02 14:18:04
319,-25.85131636426015,46,1,276.3501870690979,14358,0.5280,0.353460,2026-04-02 14:18:04
320,-15.894463846464879,19,1,151.81406660432398,14397,0.5270,0.265122,2026-04-02 14:18:05
321,-5.794424279432988,14,1,112.20800828311161,14475,0.5259,0.098117,2026-04-02 14:18:05
322,-17.724020403941022,39,1,152.39042205404522,14519,0.5248,0.136058,2026-04-02 14:18:06
323,-19.30527985340206,32,1,233.11241518582716,14523,0.5238,0.077713,2026-04-02 14:18:06
324,-3.1541308201137435,9,1,44.04937352284112,14602,0.5228,0.239622,2026-04-02 14:18:07
325,-11.72138988701632,15,1,147.20978180463126,14643,0.5217,0.131060,2026-04-02 14:18:07
326,-34.45532137939913,36,1,223.5525075487512,14766,0.5207,0.228538,2026-04-02 14:18:08
327,-7.0801797827334845,10,1,93.61511816788902,14853,0.5196,0.065421,2026-04-02 14:18:09
328,-48.43717966988246,67,1,418.3638262369409,14866,0.5186,0.151854,2026-04-02 14:18:09
329,-88.22218555111384,104,1,649.4307731017138,14938,0.5175,0.091286,2026-04-02 14:18:10
330,-15.247621318301693,42,1,162.32760450843097,14939,0.5165,0.223950,2026-04-02 14:18:10
331,-7.8400990282113545,11,1,91.04955153683989,14945,0.5155,0.234261,2026-04-02 14:18:10
332,-4.067072791770047,5,1,74.06760834597837,14982,0.5144,0.121871,2026-04-02 14:18:11
333,-7.428799813140857,11,1,102.78565146512193,15032,0.5134,0.087721,2026-04-02 14:18:11
334,-73.33044156733983,91,1,430.7117991066893,15043,0.5124,0.156109,2026-04-02 14:18:11
335,-81.88015051921343,83,1,513.3017524201796,15055,0.5114,0.015608,2026-04-02 14:18:11
336,-4.585116713997089,18,1,100.89608364297403,15092,0.5103,0.051214,2026-04-02 14:18:12
337,-30.621376895209313,35,1,262.8253816653864,15146,0.5093,0.077199,2026-04-02 14:18:12
338,-20.432896465123964,22,1,142.96128229552352,15222,0.5083,0.085525,2026-04-02 14:18:13
339,-71.95485957932635,74,1,555.9499347138867,15230,0.5073,0.165822,2026-04-02 14:18:13
340,-22.596203282601024,32,1,225.01500551517304,15289,0.5063,0.125855,2026-04-02 14:18:14
341,-29.77103538211489,27,1,250.11842765364491,15312,0.5053,0.165549,2026-04-02 14:18:14
342,-80.4656405692198,200,0,966.288191611238,15409,0.5042,0.101655,2026-04-02 14:18:15
343,-16.064090386505335,33,1,160.27419192023598,15412,0.5032,0.244442,2026-04-02 14:18:15
344,-13.133280264371198,24,1,169.11653925735646,15425,0.5022,0.327329,2026-04-02 14:18:15
345,-8.339071731037915,23,1,116.78813302063865,15500,0.5012,0.168956,2026-04-02 14:18:16
346,-5.141923465585247,11,1,81.75491878659125,15594,0.5002,0.193450,2026-04-02 14:18:17
347,-13.709159986942797,22,1,166.29070530008414,15606,0.4992,0.279232,2026-04-02 14:18:17
348,-2.0797948168870337,9,1,48.9856870580962,15672,0.4982,0.144017,2026-04-02 14:18:18
349,-35.97325814235186,59,1,419.6018585468368,15692,0.4972,0.217513,2026-04-02 14:18:18
350,-23.582918745667182,36,1,216.3958058800095,15700,0.4962,0.123927,2026-04-02 14:18:18
351,-5.60366386973744,15,1,101.10907173377012,15730,0.4952,0.081252,2026-04-02 14:18:18
352,-8.209682090998488,19,1,104.0561761597906,15858,0.4943,0.091931,2026-04-02 14:18:20
353,-3.4366519267959452,26,1,56.4192747523241,15903,0.4933,0.111962,2026-04-02 14:18:20
354,-49.08499958788128,69,1,434.7753358717814,15956,0.4923,0.072494,2026-04-02 14:18:21
355,-6.517673289191973,32,1,144.62937353157224,15990,0.4913,0.123125,2026-04-02 14:18:21
356,-118.7554799737125,135,1,571.1412868857543,16047,0.4903,0.317404,2026-04-02 14:18:22
357,-55.03347907589264,55,1,406.1256465386007,16111,0.4893,0.064883,2026-04-02 14:18:22
358,-12.426518852678008,34,1,222.97042438647665,16134,0.4884,0.395079,2026-04-02 14:18:22
359,-2.6363136258380653,5,1,71.42110957674797,16156,0.4874,0.111109,2026-04-02 14:18:23
360,0.09125655523555631,7,1,37.15949650611715,16196,0.4864,0.107342,2026-04-02 14:18:23
361,-3.9307781264966875,11,1,69.59881602185858,16250,0.4854,0.188371,2026-04-02 14:18:24
362,-23.084343332555374,37,1,268.03524382879726,16344,0.4845,0.043648,2026-04-02 14:18:25
363,-3.0810531165741906,18,1,84.06703841512876,16400,0.4835,0.330649,2026-04-02 14:18:25
364,-42.578027553817854,69,1,362.8479345413252,16451,0.4825,0.307270,2026-04-02 14:18:26
365,-6.7780492085150135,13,1,130.95795587123533,16510,0.4816,0.069919,2026-04-02 14:18:26
366,-2.5945389930565406,9,1,60.145990745542946,16528,0.4806,0.179565,2026-04-02 14:18:26
367,-0.03345487161300229,3,1,18.4873470235646,16559,0.4796,0.023891,2026-04-02 14:18:27
368,-152.07124370749386,200,0,1064.0647046538884,16635,0.4787,0.271617,2026-04-02 14:18:28
369,-46.1263565961494,56,1,394.0242420313617,16643,0.4777,0.179644,2026-04-02 14:18:28
370,-1.1314478867078472,6,1,35.025397492882284,16688,0.4768,0.177086,2026-04-02 14:18:28
371,-1.8760516815111479,13,1,64.84568686791408,16752,0.4758,0.164906,2026-04-02 14:18:29
372,0.118305309789631,1,1,15.338241795272149,16766,0.4749,0.027164,2026-04-02 14:18:29
373,-2.3087071699931068,11,1,54.50694724762885,16782,0.4739,0.135584,2026-04-02 14:18:29
374,-58.546588259542155,105,1,666.612523822764,16785,0.4730,0.058191,2026-04-02 14:18:29
375,-86.64062305278195,200,0,978.0534199381242,16864,0.4720,0.156108,2026-04-02 14:18:30
376,-13.453681066355918,16,1,117.65552778611259,16918,0.4711,0.070272,2026-04-02 14:18:31
377,-52.315978645661346,76,1,461.9134643465821,16944,0.4701,0.075575,2026-04-02 14:18:31
378,-25.769531955398094,27,1,161.2879241579968,16984,0.4692,0.197827,2026-04-02 14:18:31
379,-2.2209764333149553,5,1,50.847198730919196,16990,0.4682,0.032262,2026-04-02 14:18:31
380,-54.002002834373194,75,1,434.866879485169,17104,0.4673,0.060534,2026-04-02 14:18:32
381,-23.58696315531548,37,1,277.1344697804783,17162,0.4664,0.052535,2026-04-02 14:18:33
382,-50.825668819014346,77,1,474.004053206317,17168,0.4654,0.038121,2026-04-02 14:18:33
383,0.2749034246158816,1,1,18.086116015852177,17176,0.4645,0.058472,2026-04-02 14:18:33
384,-21.980527152909108,28,1,134.16306558024914,17217,0.4636,0.172403,2026-04-02 14:18:34
385,-29.889542459457623,67,1,449.4745308574434,17452,0.4627,0.077264,2026-04-02 14:18:36
386,-80.42296271964717,93,1,605.6878664302166,17521,0.4617,0.250462,2026-04-02 14:18:37
387,-187.43378974288504,200,0,1384.418454766585,17565,0.4608,0.136073,2026-04-02 14:18:37
388,-53.92317387334179,78,1,340.8060427961514,17606,0.4599,0.152535,2026-04-02 14:18:38
389,-2.895027119169538,7,1,81.46294529706392,17626,0.4590,0.210940,2026-04-02 14:18:38
390,0.1671351333973489,2,1,17.362896700790916,17627,0.4580,0.168850,2026-04-02 14:18:38
391,-48.62323406079336,68,1,416.06180312563896,17646,0.4571,0.046042,2026-04-02 14:18:38
392,-62.12118093265344,75,1,426.5307930315283,17769,0.4562,0.099424,2026-04-02 14:18:39
393,-2.0768779909790025,18,1,60.0607510217272,17775,0.4553,0.191935,2026-04-02 14:18:39
394,-13.270508716842198,17,1,188.72422692337526,17787,0.4544,0.225214,2026-04-02 14:18:40
395,0.18069384310705983,1,1,15.515646467399076,17788,0.4535,0.148919,2026-04-02 14:18:40
396,-28.868012390236224,75,1,351.2681403588653,17814,0.4526,0.334876,2026-04-02 14:18:40
397,-34.82146495893509,46,1,252.31420825039572,17815,0.4517,0.423817,2026-04-02 14:18:40
398,-2.4584329012436434,5,1,64.27259332122424,17833,0.4508,0.129407,2026-04-02 14:18:40
399,-6.585260294927238,16,1,90.7864166368026,17948,0.4499,0.349166,2026-04-02 14:18:41
400,-22.47084198041335,48,1,260.1907726448583,18007,0.4490,0.058047,2026-04-02 14:18:42
401,-68.09755478704412,63,1,441.7329634535234,18019,0.4481,0.099797,2026-04-02 14:18:42
402,-7.704270267704221,10,1,94.56467558660128,18033,0.4472,0.140300,2026-04-02 14:18:42
403,-11.90686336046288,33,1,198.61628831235788,18050,0.4463,0.117730,2026-04-02 14:18:42
404,-26.197078820157742,42,1,194.28602393149657,18102,0.4454,0.160070,2026-04-02 14:18:43
405,-4.717610771525979,15,1,105.75036751235967,18144,0.4445,0.094632,2026-04-02 14:18:43
406,-15.021328699158758,43,1,259.86655710939345,18176,0.4436,0.241304,2026-04-02 14:18:44
407,-5.779836164748241,7,1,103.49865566494002,18238,0.4427,0.137111,2026-04-02 14:18:44
408,-5.954779844570395,30,1,96.331831572094,18275,0.4418,0.107621,2026-04-02 14:18:45
409,-6.257158572062951,9,1,102.92519573927042,18315,0.4410,0.109476,2026-04-02 14:18:45
410,-1.4213936034680055,7,1,39.843777280117784,18337,0.4401,0.153895,2026-04-02 14:18:45
411,-36.894096606719536,75,1,388.92741856385794,18408,0.4392,0.372996,2026-04-02 14:18:46
412,-4.250525388785856,4,1,56.09625020878737,18447,0.4383,0.213552,2026-04-02 14:18:47
413,-34.722494421724754,50,1,292.6909133896419,18449,0.4374,0.043190,2026-04-02 14:18:47
414,-80.68350822594591,58,1,564.1672802298061,18465,0.4366,0.243431,2026-04-02 14:18:47
415,-22.532966615585206,38,1,309.1735018260359,18643,0.4357,0.147315,2026-04-02 14:18:49
416,-48.54046383398959,65,1,397.3408273898118,18661,0.4348,0.098748,2026-04-02 14:18:49
417,-1.983807513855619,7,1,43.889999846991145,18705,0.4339,0.012322,2026-04-02 14:18:49
418,-210.0230447399054,200,0,1214.1991144419615,18750,0.4331,0.260350,2026-04-02 14:18:50
419,-12.362829909796378,21,1,168.2458979324296,18834,0.4322,0.077219,2026-04-02 14:18:51
420,-4.161518117516696,16,1,59.08038317707937,18838,0.4313,0.114332,2026-04-02 14:18:51
421,-42.927750598794695,50,1,297.987640175524,18846,0.4305,0.062083,2026-04-02 14:18:51
422,0.16967806763371446,1,1,13.799436659217674,18851,0.4296,0.334999,2026-04-02 14:18:51
423,0.23468413339734773,1,1,17.36289670079092,18860,0.4288,0.118860,2026-04-02 14:18:51
424,-1.2862827310558511,10,1,46.382547618584226,18917,0.4279,0.417994,2026-04-02 14:18:51
425,-22.24442401947219,21,1,232.6327412734799,18919,0.4271,0.053585,2026-04-02 14:18:51
426,-12.92050177546406,8,1,111.8164635030063,18929,0.4262,0.184777,2026-04-02 14:18:52
427,0.9513515013283723,2,1,17.316790146313416,18952,0.4253,0.048375,2026-04-02 14:18:52
428,-59.21560044892135,69,1,344.6018029148042,18994,0.4245,0.353139,2026-04-02 14:18:52
429,-28.97805968912785,68,1,333.7327184044107,19003,0.4236,0.116897,2026-04-02 14:18:52
430,-6.043668536632423,19,1,94.06500552670843,19003,0.4228,0.116897,2026-04-02 14:18:52
431,-95.04293969034502,132,1,818.4415751844127,19139,0.4220,0.408651,2026-04-02 14:18:54
432,-0.21072786660265913,1,1,17.36289670079092,19154,0.4211,0.245358,2026-04-02 14:18:54
433,-9.447948502009883,20,1,130.2896344739973,19169,0.4203,0.085319,2026-04-02 14:18:54
434,-108.62110333821255,118,1,656.3051115466708,19242,0.4194,0.311402,2026-04-02 14:18:55
435,-4.977149784459822,10,1,82.23593564758359,19328,0.4186,0.286952,2026-04-02 14:18:56
436,-11.840709260758173,27,1,155.79716484410116,19391,0.4177,0.179809,2026-04-02 14:18:56
